Variable,Breakdown,Breakdown_category,Year,RD_Value,Units,Footnotes
_02_Current and Capital Expenditure: Wages and Salaries,Industry,02_Manufacturing Industry Group,2019,421,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,03_Services Industry Group,2016,504,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,03_Services Industry Group,2018,733,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,03_Services Industry Group,2019,899,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,04_Government Industry Group,2016,275,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,04_Government Industry Group,2018,332,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,04_Government Industry Group,2019,..,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,05_Higher Education Industry Group,2016,489,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,05_Higher Education Industry Group,2018,516,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Industry,05_Higher Education Industry Group,2019,..,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,01_Primary,2016,31,NZ Dollars (millions),1 and 6 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,01_Primary,2018,50,NZ Dollars (millions),1 and 6 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,01_Primary,2019,34,NZ Dollars (millions),1 and 6 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,02_Food_Manufacturing,2016,59,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,02_Food_Manufacturing,2018,42,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,02_Food_Manufacturing,2019,41,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,03_Beverage and tobacco manufacturing,2016,4,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,03_Beverage and tobacco manufacturing,2018,6,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,03_Beverage and tobacco manufacturing,2019,5,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,4,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,6,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,7,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,41,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,51,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,51,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,06_Non-metallic mineral product manufacturing,2016,2,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,06_Non-metallic mineral product manufacturing,2018,2,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,06_Non-metallic mineral product manufacturing,2019,2,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,07_Metal product manufacturing,2016,17,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,07_Metal product manufacturing,2018,19,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,07_Metal product manufacturing,2019,24,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,08_Machinery and equipment manufacturing,2016,248,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,08_Machinery and equipment manufacturing,2018,237,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,08_Machinery and equipment manufacturing,2019,281,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,09_Other manufacturing,2016,4,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,09_Other manufacturing,2018,7,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,09_Other manufacturing,2019,11,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,10_Wholesale trade,2016,59,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,10_Wholesale trade,2018,80,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,10_Wholesale trade,2019,84,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,11_Scientific research and technical services,2016,35,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,11_Scientific research and technical services,2018,59,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,11_Scientific research and technical services,2019,56,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,12_Computer services,2016,300,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,12_Computer services,2018,370,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,12_Computer services,2019,453,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,13_Other services,2016,110,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,13_Other services,2018,224,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,13_Other services,2019,306,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,14_Scientific research,2016,232,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,14_Scientific research,2018,290,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,14_Scientific research,2019,..,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,15_Other government research,2016,43,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,15_Other government research,2018,42,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,15_Other government research,2019,..,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,16_Higher Education,2016,489,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,16_Higher Education,2018,516,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Published_Industry,16_Higher Education,2019,..,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,01_Business Sector,2016,913,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,01_Business Sector,2018,1153,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,01_Business Sector,2019,1353,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,02_Government Sector,2016,275,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,02_Government Sector,2018,332,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,02_Government Sector,2019,..,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,03_Higher Education Sector,2016,489,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,03_Higher Education Sector,2018,516,NZ Dollars (millions),1 and 8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Sector,03_Higher Education Sector,2019,..,NZ Dollars (millions),1 and 8 and 9 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,001-009 employees,2016,69,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,001-009 employees,2018,95,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,001-009 employees,2019,114,NZ Dollars (millions),8 and 9 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,010-019 employees,2016,82,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,010-019 employees,2018,100,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,010-019 employees,2019,118,NZ Dollars (millions),8 and 9 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,020-049 employees,2016,125,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,020-049 employees,2018,155,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,020-049 employees,2019,231,NZ Dollars (millions),8 and 9 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,050-099 employees,2016,124,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,050-099 employees,2018,149,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,050-099 employees,2019,170,NZ Dollars (millions),8 and 9 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,100 or more employees,2016,1252,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,100 or more employees,2018,1433,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,100 or more employees,2019,625,NZ Dollars (millions),8 and 9 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,Zero employees,2016,25,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,Zero employees,2018,71,NZ Dollars (millions),8 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Size,Zero employees,2019,96,NZ Dollars (millions),8 and 9 and 19 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Total,99_Total all sectors,2016,1677,NZ Dollars (millions),8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Total,99_Total all sectors,2018,2001,NZ Dollars (millions),8 and 20
_02_Current and Capital Expenditure: Wages and Salaries,Total,99_Total all sectors,2019,..,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,5,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,4,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,6,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,B_Mining,2016,C,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,B_Mining,2018,C,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,B_Mining,2019,C,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,C_Manufacturing,2016,25,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,C_Manufacturing,2018,45,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,C_Manufacturing,2019,48,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,C,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,C,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,2,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,E_Construction,2016,5,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,E_Construction,2018,C,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,E_Construction,2019,2,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,F_Wholesale Trade,2016,9,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,F_Wholesale Trade,2018,11,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,F_Wholesale Trade,2019,12,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,3,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,3,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,3,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,3,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,5,NZ Dollars (millions),8 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,2,NZ Dollars (millions),8 and 9 and 20
_03_Current and Capital Expenditure: Capital Expenditure: Total,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,..,NZ Dollars (millions),8 and 20
